u_number,sex,race,age,high_school,full_part,city,stat_code,zip,pell_grant,camp_code,major,hours_attempted,hours_earned,mc_gpa,pass_engl,pass_math,term_year,summer1,fall,MCPS,HS_classify,hours_earned_rate,unearned_hours
20193786,M,Hispanic,18 - 20,Winston Churchill High School,FT,Gaithersburg,MD,20877,Y,R,Business,16,12,2.5,Y,N,2020,N,Y,TRUE,MCPS,0.75,4
20193789,F,Black / African Am.,18 - 20,Paint Branch High School,FT,Burtonsville,MD,20866,N,NA,Engineering Science,13,10,4,N,Y,2020,N,Y,TRUE,MCPS,0.7692307692307693,3
20193791,M,Hispanic,18 - 20,John F. Kennedy High School,FT,Silver Spring,MD,20906,N,R,General Studies,12,12,2.75,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193792,F,Asian,18 - 20,Quince Orchard Sr High School,PT,Gaithersburg,MD,20878,Y,R,Science,9,6,3.5,Y,N,2020,N,Y,TRUE,MCPS,0.6666666666666666,3
20193793,M,Asian,18 - 20,Springbrook Sr High School,PT,Silver Spring,MD,20903,N,R,Cybersecurity,9,9,2,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193794,F,Asian,18 - 20,Clarksburg High School,PT,Clarksburg,MD,20871,N,R,General Studies,8,6,1,N,N,2020,N,Y,TRUE,MCPS,0.75,2
20193796,M,White,18 - 20,Richard Montgomery High School,FT,Rockville,MD,20850,N,R,General Studies,10,4,0.5,N,N,2020,N,Y,TRUE,MCPS,0.4,6
20193797,M,White,18 - 20,Damascus High School,FT,Derwood,MD,20855,N,R,Computer Science,39,39,3.23,N,Y,2020,N,Y,TRUE,MCPS,1,0
20193801,M,Foreign,18 - 20,Albert Einstein HS & MC Art Cn,FT,Silver Spring,MD,20906,N,R,General Studies,12,12,4,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193802,F,Hispanic,18 - 20,Clarksburg High School,PT,Gaithersburg,MD,20879,N,G,General Studies,9,7,4,Y,Y,2020,N,Y,TRUE,MCPS,0.7777777777777778,2
20193805,F,Black / African Am.,18 - 20,John F. Kennedy High School,FT,Silver Spring,MD,20906,Y,T,General Studies,13,0,0,N,N,2020,N,Y,TRUE,MCPS,0,13
20193806,M,Hispanic,18 - 20,Watkins Mill High School,FT,Montgomery Villiage,MD,20886,Y,G,Science,12,6,3.5,N,N,2020,N,Y,TRUE,MCPS,0.5,6
20193807,M,White,18 - 20,Walt Whitman High School,PT,Cabin John,MD,20818,N,R,Undeclared,4,0,0,N,N,2020,N,Y,TRUE,MCPS,0,4
20193809,F,Asian,18 - 20,Clarksburg High School,FT,Germantown,MD,20874,Y,NA,Health Sciences,12,12,2.5,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193811,F,Foreign,18 - 20,John F. Kennedy High School,FT,Rockville,MD,20853,N,T,General Studies,19,19,3.69,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193812,M,Multi-Race,18 - 20,Watkins Mill High School,FT,Germantown,MD,20876,N,R,General Studies,15,15,3.33,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193813,M,White,18 - 20,Northwood High School,FT,Silver Spring,MD,20902,Y,T,Business,17,17,2.71,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193814,M,Hispanic,18 - 20,Gaithersburg High School,FT,Gaithersburg,MD,20877,N,R,General Studies,11,0,0,N,N,2020,N,Y,TRUE,MCPS,0,11
20193816,F,Hispanic,18 - 20,James Hubert Blake High School,FT,Burtonsville,MD,20866,Y,R,Business,15,12,3.25,Y,N,2020,N,Y,TRUE,MCPS,0.8,3
20193818,F,Unknown,18 - 20,Richard Montgomery High School,FT,Silver Spring,MD,20906,Y,R,"Health Enhancement, Exercise Science, and
Physical Education",14,10,2.6,Y,N,2020,N,Y,TRUE,MCPS,0.7142857142857143,4
20193819,M,Asian,< 18,Springbrook Sr High School,FT,Silver Spring,MD,20904,Y,T,Theatre,9,9,2.33,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193820,F,Hispanic,18 - 20,Albert Einstein HS & MC Art Cn,FT,Silver Spring,MD,20902,Y,R,Health Sciences,13,13,2.15,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193823,M,Asian,18 - 20,Clarksburg High School,FT,Clarksburg,MD,20871,Y,G,General Studies,13,3,3,N,N,2020,N,Y,TRUE,MCPS,0.23076923076923078,10
20193825,M,White,18 - 20,Albert Einstein HS & MC Art Cn,PT,Silver Spring,MD,20910,N,NA,"Health Enhancement, Exercise Science, and
Physical Education",9,9,2.33,N,N,2020,N,Y,TRUE,MCPS,1,0
20193826,M,White,18 - 20,Quince Orchard Sr High School,FT,Gaithersburg,MD,20878,Y,R,Business,12,6,2,N,N,2020,N,Y,TRUE,MCPS,0.5,6
20193829,M,White,18 - 20,Walter Johnson High School,FT,Bethesda,MD,20817,N,R,Art,14,10,3.6,N,N,2020,N,Y,TRUE,MCPS,0.7142857142857143,4
20193830,F,Am. Indian / AK Native,18 - 20,Richard Montgomery High School,FT,Rockville,MD,20850,N,R,Health Sciences,19,19,3.5,Y,N,2020,N,Y,TRUE,MCPS,1,0
20193832,M,Hispanic,18 - 20,Gaithersburg High School,FT,Gaithersburg,MD,20879,Y,R,Computer Science,13,9,4,Y,N,2020,N,Y,TRUE,MCPS,0.6923076923076923,4
20193833,F,Hispanic,18 - 20,Northwood High School,FT,Silver Spring,MD,20902,N,R,General Studies,11,9,3.67,N,Y,2020,N,Y,TRUE,MCPS,0.8181818181818182,2
20193834,M,Foreign,18 - 20,James Hubert Blake High School,FT,Silver Spring,MD,20903,N,T,Science,14,14,3.71,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193838,F,Foreign,18 - 20,John F. Kennedy High School,PT,Silver Spring,MD,20906,N,R,General Studies,5,0,0,N,N,2020,N,Y,TRUE,MCPS,0,5
