"","u_number","sex","race","age","high_school","full_part","city","stat_code","zip","pell_grant","camp_code","major","hours_attempted","hours_earned","mc_gpa","pass_engl","pass_math","term_year","summer2","fall"
"3721","20193902","M","Black / African Am.","18 - 20","Clarksburg High School","FT","Clarksburg","MD","20871","N","G","Engineering Science",10,3,1,"N","N","2020","N","Y"
"3722","20193903","M","Asian","18 - 20","Springbrook Sr High School","FT","Silver Spring","MD","20903","Y","T","Business",12,12,2,"Y","N","2020","N","Y"
"3723","20193904","M","Foreign","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Takoma Park","MD","20912","N","T","Computer Science",11,10,2.9,"Y","Y","2020","N","Y"
"3724","20193905","M","Hispanic","18 - 20","DISTRICT OF COLUMBIA HS","FT","Silver Spring","MD","20901","Y","T","Criminal Justice",12,6,2.5,"N","N","2020","N","Y"
"3725","20193906","M","Asian","18 - 20","John F. Kennedy High School","FT","Silver Spring","MD","20904","N","R","Business",15,12,3,"Y","N","2020","N","Y"
"3726","20193908","M","Hispanic","18 - 20","Northwestern HS - Hyattsville","PT","Hyattsville","MD","20782","N","T","Computer Gaming and Simulation",8,6,2.5,"Y","Y","2020","N","Y"
"3727","20193909","M","Hispanic","18 - 20","John F. Kennedy High School","FT","Silver Spring","MD","20906","Y","T","Art",12,9,2.5,"N","N","2020","N","Y"
"3728","20193910","M","Black / African Am.","30 +","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20901","N","T","Building Trade",10,10,3,"N","N","2020","N","Y"
"3729","20193911","M","Black / African Am.","18 - 20","Clarksburg High School","FT","Clarksburg","MD","20871","N","G","General Studies",13,12,2.31,"Y","N","2020","N","Y"
"3730","20193912","M","White","18 - 20","Albert Einstein HS & MC Art Cn","PT","Silver Spring","MD","20906","N","R","General Studies",8,8,2.38,"Y","N","2020","N","Y"
"3731","20193913","F","Black / African Am.","30 +","Oxon Hill High School","PT","Burtonsville","MD","20866","Y","T","General Studies",6,6,3,"N","N","2020","N","Y"
"3732","20193914","F","Hispanic","18 - 20","Albert Einstein HS & MC Art Cn","FT","Silver Spring","MD","20901","Y","R","General Studies",13,13,3.46,"Y","N","2020","N","Y"
"3733","20193915","M","White","18 - 20","Walt Whitman High School","FT","Bethesda","MD","20816","N","R","Criminal Justice",18,18,3.4,"Y","N","2020","N","Y"
"3734","20193916","M","Hispanic","21 - 24","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20902","Y","R","Architectural Technology",9,9,3.67,"Y","N","2020","N","Y"
"3735","20193917","M","Black / African Am.","< 18","Gaithersburg High School","PT",NA,NA,NA,"N","R","Health Enhancement, Exercise Science, and
Physical Education",11,3,0.33,"N","N","2020","N","Y"
"3736","20193918","F","Hispanic","18 - 20","Albert Einstein HS & MC Art Cn","FT","Silver Spring","MD","20903","Y","R","Health Enhancement, Exercise Science, and
Physical Education",13,3,0.67,"N","N","2020","N","Y"
"3737","20193919","M","Asian","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Rockville","MD","20852","N","R","Science",14,14,3.79,"Y","Y","2020","N","Y"
"3738","20193920","F","Asian","18 - 20","Watkins Mill High School","PT","Montgomery Village","MD","20886","N","G","Graphic Design",8,3,3,"N","N","2020","N","Y"
"3739","20193921","F","Foreign","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20879","N","G","General Studies",10,10,3.1,"Y","N","2020","N","Y"
"3740","20193922","F","Foreign","18 - 20","Northwest HS - Germantown","PT","Germantown","MD","20874","N","G","General Studies",9,9,2,"Y","N","2020","N","Y"
"3741","20193923","F","White","< 18","** HOME SCHOOLED **","PT","Silver Spring","MD","20901","N","R","Business",6,1,3,"N","N","2020","N","Y"
"3742","20193924","F","Hispanic","18 - 20","Richard Montgomery High School","PT","Rockville","MD","20851","Y","R","Health Sciences",3,0,0,"N","N","2020","N","Y"
"3743","20193925","M","Hispanic","18 - 20","Albert Einstein HS & MC Art Cn","PT","Silver Spring","MD","20906","N","T","Criminal Justice",9,3,2,"N","N","2020","N","Y"
"3744","20193926","F","Asian","18 - 20","Clarksburg High School","PT","Germantown","MD","20876","N","G","General Studies",3,0,0,"N","N","2020","N","Y"
"3745","20193927","F","Hispanic","18 - 20","Northwood High School","FT","Silver Spring","MD","20906","Y","T","General Studies",19,19,2.92,"N","N","2020","N","Y"
"3746","20193928","M","Asian","18 - 20","Paint Branch High School","FT","Silver Spring","MD","20904","Y","R","Science",14,10,3.6,"Y","Y","2020","N","Y"
"3747","20193929","M","Foreign","18 - 20","Seneca Valley High School","PT","Germantown","MD","20876","N","G","Graphic Design",8,3,4,"N","N","2020","N","Y"
"3748","20193930","F","Hispanic","18 - 20","Damascus High School","FT","Gaithersburg","MD","20882","N","G","General Studies",15,15,3.4,"Y","Y","2020","N","Y"
"3749","20193931","F","Asian","18 - 20","Clarksburg High School","FT","Clarksburg","MD","20871","Y","G","General Studies",11,0,0,"N","N","2020","N","Y"
"3750","20200001","F","Asian","21 - 24","Springbrook Sr High School","PT","Silver Spring","MD","20904","Y","T","General Studies",14,6,2.5,"Y","N","2021","N","Y"
"3751","20200002","M","Foreign","18 - 20","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","N","R","Communication",9,0,0,"N","N","2021","N","Y"
"3752","20200003","M","Foreign","21 - 24","Urbana High School","PT","Silver Spring","MD","20904","N","R","Theatre",15,0,0,"N","N","2021","N","Y"
"3753","20200004","M","Asian","18 - 20","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","Y","G","Cybersecurity",6,0,0,"N","N","2021","N","Y"
"3754","20200005","M","Black / African Am.","18 - 20","Paint Branch High School","PT","Burtonsville","MD","20866","Y","R","Cybersecurity",3,0,0,"N","N","2021","N","Y"
"3755","20200006","F","Hispanic","18 - 20","Bowie High School","FT","Kensington","MD","20895","N","T","Business",13,9,2.33,"N","N","2021","N","Y"
"3756","20200007","F","White","21 - 24","Out of State High School","PT","Fort Meade","MD","20755","Y","R","General Studies",28,28,3.5,"Y","N","2021","N","Y"
"3757","20200008","M","Black / African Am.","< 18","Seneca Valley High School","PT","Germantown","MD","20874","Y","R","General Studies",8,6,2.5,"Y","N","2021","N","Y"
"3758","20200009","F","Hispanic","30 +","Gov Thomas Johnson High School","FT","Burtonsville","MD","20866","Y","R","Education",25,9,0,"N","N","2021","N","Y"
"3759","20200010","M","White","18 - 20","Northwest HS - Germantown","PT","Germantown","MD","20874","N","G","Computer Gaming and Simulation",8,6,2,"Y","Y","2021","N","Y"
